//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Thu Oct 16 07:58:53 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      159     1221        -        -        98122.416          194		1
  0  00      171     1074        -        -        98241.088          195		1
  0  00      436     3281        -        -        98256.184          196		1
  0  00      149     1033        -        -        98407.216          197		1
  0  00      224     1607        -        -        98654.680          199		1
  0  00      226     1629        -        -        99126.688          200		1
  0  00      151     1057        -        -        99498.640          201		1
  0  00      154     1202        -        -        99793.312          202		1
  0  00      150     1100        -        -        99891.096          203		1
  0  00      154      972        -        -       100819.704          204		1
  0  00      131     1072        -        -       100908.568          205		1
  0  00      170     1082        -        -       102279.368          206		1
  0  00      741     5818        -        -       102508.896          207		1
  0  00      166     1090        -        -       103160.056          208		1
  0  00      156     1033        -        -       103237.448          209		1
  0  00      153     1044        -        -       103472.696          210		1
  0  00      163     1310        -        -       103937.848          211		1
  0  00      153     1120        -        -       104431.728          212		1
  0  00      195     1512        -        -       104864.304          213		1
  0  00      148     1056        -        -       104926.872          214		1
  0  00      160     1108        -        -       105325.560          215		1
  0  00      157     1029        -        -       105987.672          216		1
  0  00      172     1339        -        -       106417.072          217		1
  0  00      144      992        -        -       107102.016          218		1
  0  00      128      874        -        -       107197.528          219		1
  0  00      155     1017        -        -       107322.312          220		1
  0  00      108     1036        -        -       107657.928          221		1
  0  00      210     1603        -        -       108061.992          222		1
  0  00      150     1043        -        -       108973.736          223		1
  0  00      149     1049        -        -       110099.616          224		1
  0  00      189     1218        -        -       110937.656          225		1
  0  00      167     1219        -        -       111187.088          226		1
  0  00      159     1061        -        -       111579.552          227		1
  0  00      162     1255        -        -       112018.608          228		1
  0  00      147     1042        -        -       112149.328          229		1
  0  00      106     1087        -        -       112960.536          230		1
  0  00      141     1119        -        -       113472.776          231		1
  0  00      137     1075        -        -       114234.648          232		1
  0  00      150     1086        -        -       114285.448          233		1
  0  00      152     1044        -        -       116493.208          234		1
  0  00      180     1146        -        -       117048.832          235		1
  0  00      149     1088        -        -       117578.496          236		1
  0  00      491     3693        -        -       119935.768          237		1
  0  00      172     1250        -        -       120656.704          238		1
  0  00      175     1062        -        -       121357.344          239		1
  0  00      150     1056        -        -       121509.640          240		1
  0  00      187     1510        -        -       122455.328          241		1
  0  00      147     1018        -        -       122770.728          242		1
  0  00      403     3137        -        -       122938.104          243		1
  0  00      150     1312        -        -       123493.528          244		1
  0  00      166     1035        -        -       123523.952          245		1
  0  00      130     1057        -        -       123800.800          246		1
  0  00      154     1015        -        -       124640.008          247		1
  0  00      203     1587        -        -       125671.504          248		1
  0  00      132     1102        -        -       125931.824          249		1
  0  00      133     1082        -        -       126184.808          250		1
  0  00      141      999        -        -       127604.960          251		1
  0  00      148     1174        -        -       128425.376          252		1
  0  00      176     1096        -        -       128592.728          253		1
  0  00      150     1114        -        -       128871.808          254		1
  0  00      152     1095        -        -       129420.144          255		1
  0  00      153     1175        -        -       130467.136          256		1
  0  00      156     1163        -        -       131657.728          257		1
  0  00      137     1021        -        -       132158.168          258		1
  0  00      145     1057        -        -       132310.992          259		1
  0  00      137     1069        -        -       133344.496          260		1
  0  00      163     1005        -        -       133405.688          261		1
  0  00      167     1058        -        -       133692.680          262		1
  0  00      160     1139        -        -       134170.624          263		1
  0  00      166     1051        -        -       135010.128          264		1
  0  00      181     1065        -        -       135063.040          265		1
  0  00      148      978        -        -       135136.880          266		1
  0  00      321     2390        -        -       135389.712          267		1
  0  00      158     1104        -        -       135564.176          268		1
  0  00      147     1048        -        -       136064.920          269		1
  0  00      150     1066        -        -       136915.344          270		1
  0  00      150      957        -        -       138444.288          271		1
  0  00      156     1068        -        -       139113.696          272		1
  0  00      150     1064        -        -       139357.560          273		1
  0  00      163     1117        -        -       140354.576          274		1
  0  00      268     2036        -        -       140365.808          275		1
  0  00      149     1102        -        -       140903.800          276		1
  0  00      148     1121        -        -       141924.000          277		1
  0  00      177      949        -        -       143312.320          278		1
  0  00      139     1022        -        -       144436.632          279		1
  0  00      168     1084        -        -       147007.728          280		1
  0  00      157     1126        -        -       147511.808          281		1
  0  00      140     1114        -        -       147817.384          282		1
  0  00      164     1111        -        -       148077.464          283		1
  0  00      141     1042        -        -       148304.688          284		1
  0  00      107      918        -        -       148901.288          285		1
  0  00      153     1220        -        -       149469.448          286		1
  0  00      163     1100        -        -       150130.440          287		1
  0  00      141     1237        -        -       150162.144          288		1
  0  00      131     1089        -        -       150260.488          289		1
  0  00      124     1021        -        -       150436.056          290		1
  0  00      136     1042        -        -       150652.624          291		1
  0  00      149     1098        -        -       152285.512          292		1
  0  00      148     1067        -        -       153270.360          293		1
  0  00      154     1039        -        -       154023.744          294		1
  0  00      146     1092        -        -       154759.192          295		1
  0  00      156     1060        -        -       154870.784          296		1
  0  00      145     1051        -        -       154890.432          297		1
  0  00      183     1249        -        -       154942.920          298		1
  0  00      153     1102        -        -       156900.008          299		1
  0  00      150     1106        -        -       157486.896          300		1
  0  00      140     1031        -        -       157526.400          301		1
  0  00      108      875        -        -       157835.640          302		1
  0  00      419     3101        -        -       158358.064          303		1
  0  00      146     1236        -        -       158498.272          304		1
  0  00      161     1067        -        -       159144.680          305		1
  0  00      167     1099        -        -       161243.008          306		1
  0  00      239     1678        -        -       161270.472          307		1
  0  00      153     1106        -        -       161304.752          308		1
  0  00      156     1060        -        -       161524.768          309		1
  0  00      165     1115        -        -       162099.392          310		1
  0  00      162     1066        -        -       164148.928          311		1
