//************************************************
// Board: 5202
// File Format Version 3.3
// Janus Release 4.2.2
// Acquisition Mode: Spect_Timing
// Energy Histogram Channels: 8192
// ToA/ToT LSB: 0.5 ns
// Run start time: Wed Oct 15 15:03:20 2025 UTC
//************************************************
Brd  Ch       LG       HG  ToA_ns   ToT_ns         Tstamp_us        TrefTstamp_us        TrgID		NHits
  0  00      292     2349        -        -      1534609.784          212		1
  0  00      189     1515        -        -      1535598.896          213		1
  0  00      162     1463        -        -      1539872.608          214		1
  0  00     1040     8061        -        -      1555083.624          215		1
  0  00      337     2814        -        -      1562590.624          216		1
  0  00      499     3865        -        -      1562925.576          217		1
  0  00      474     3896        -        -      1565236.440          218		1
  0  00      202     1481        -        -      1568088.432          219		1
  0  00      544     4353        -        -      1576663.544          220		1
  0  00      313     2400        -        -      1577804.112          221		1
  0  00      498     4040        -        -      1586630.576          222		1
  0  00      236     1873        -        -      1587975.840          223		1
  0  00      243     1944        -        -      1588345.440          224		1
  0  00      199     1495        -        -      1589596.232          225		1
  0  00      315     2437        -        -      1598486.616          226		1
  0  00      601     4976        -        -      1607734.216          227		1
  0  00      191     1436        -        -      1613585.720          228		1
  0  00      161     1330        -        -      1632135.688          229		1
  0  00      211     1626        -        -      1632289.560          230		1
  0  00      480     3898        -        -      1637997.208          231		1
  0  00      568     4442        -        -      1657230.544          232		1
  0  00      193     1563        -        -      1682080.112          233		1
  0  00      185     1421        -        -      1686101.616          234		1
  0  00      377     2903        -        -      1686214.920          235		1
  0  00      449     3384        -        -      1687206.888          236		1
  0  00      300     2421        -        -      1698237.184          237		1
  0  00      665     5176        -        -      1710430.304          238		1
  0  00      518     4419        -        -      1711352.000          239		1
  0  00      953     7764        -        -      1711648.648          240		1
  0  00      643     5175        -        -      1716616.336          241		1
  0  00      390     3037        -        -      1721166.184          242		1
  0  00      279     2305        -        -      1722542.192          243		1
  0  00      303     2450        -        -      1732210.112          244		1
  0  00      248     2088        -        -      1746967.880          245		1
  0  00      469     3851        -        -      1757796.728          246		1
  0  00      654     5225        -        -      1759821.448          247		1
  0  00      198     1464        -        -      1765329.800          248		1
  0  00      244     2130        -        -      1776160.680          249		1
  0  00      182     1537        -        -      1795180.544          250		1
  0  00      173     1499        -        -      1808204.808          251		1
  0  00      296     2458        -        -      1814716.432          252		1
  0  00      561     4374        -        -      1815661.464          253		1
  0  00      204     1541        -        -      1815917.304          254		1
  0  00      572     4507        -        -      1820886.592          255		1
  0  00      247     1909        -        -      1824223.160          256		1
  0  00      879     6945        -        -      1827395.840          257		1
  0  00      308     2426        -        -      1831628.688          258		1
  0  00      243     1916        -        -      1838846.528          259		1
  0  00      425     3340        -        -      1844388.096          260		1
  0  00      238     1743        -        -      1846361.288          261		1
  0  00      247     1955        -        -      1850954.824          262		1
  0  00      589     4778        -        -      1866118.800          263		1
  0  00      200     1465        -        -      1879692.448          264		1
  0  00      247     1953        -        -      1884933.296          265		1
  0  00      553     4370        -        -      1896596.320          266		1
  0  00      260     1887        -        -      1907649.200          267		1
  0  00      474     3888        -        -      1916978.744          268		1
  0  00      641     5006        -        -      1917966.936          269		1
  0  00      304     2449        -        -      1923577.256          270		1
  0  00      677     5362        -        -      1925582.136          271		1
  0  00      308     2448        -        -      1936144.616          272		1
  0  00      552     4474        -        -      1948861.160          273		1
  0  00      398     3137        -        -      1949968.376          274		1
  0  00      230     1956        -        -      1951000.896          275		1
  0  00      184     1429        -        -      1955121.840          276		1
  0  00      178     1477        -        -      1963897.200          277		1
  0  00      205     1650        -        -      1963934.952          278		1
  0  00      533     4303        -        -      1967546.584          279		1
  0  00      321     2643        -        -      1972702.144          280		1
  0  00      436     3569        -        -      1993607.392          281		1
  0  00      220     1602        -        -      2004583.920          282		1
  0  00      237     1963        -        -      2013860.384          283		1
  0  00      545     4330        -        -      2017188.000          284		1
  0  00      186     1525        -        -      2021049.256          285		1
  0  00      215     1830        -        -      2021209.664          286		1
  0  00      364     2900        -        -      2021295.768          287		1
  0  00      805     6397        -        -      2044390.520          288		1
  0  00      183     1540        -        -      2047107.104          289		1
  0  00      175     1420        -        -      2059313.232          290		1
  0  00      399     3076        -        -      2063265.096          291		1
  0  00      209     1485        -        -      2072639.072          292		1
  0  00      165     1445        -        -      2079218.544          293		1
  0  00      421     3309        -        -      2080813.328          294		1
  0  00      652     5310        -        -      2083157.784          295		1
  0  00      220     1907        -        -      2083300.712          296		1
  0  00      183     1407        -        -      2088323.264          297		1
  0  00      709     5673        -        -      2090718.632          298		1
  0  00      271     1981        -        -      2114998.288          299		1
  0  00      241     1984        -        -      2123357.856          300		1
  0  00      185     1494        -        -      2135085.960          301		1
  0  00      202     1480        -        -      2141711.152          302		1
  0  00      229     1794        -        -      2143303.384          303		1
  0  00      199     1589        -        -      2148831.416          304		1
  0  00      447     3425        -        -      2152430.720          305		1
  0  00      191     1445        -        -      2156450.088          306		1
  0  00      651     5283        -        -      2160657.944          307		1
  0  00      319     2450        -        -      2162274.344          308		1
  0  00      192     1516        -        -      2172463.448          309		1
  0  00      183     1471        -        -      2174583.520          310		1
  0  00      250     1822        -        -      2176315.008          311		1
  0  00      287     2344        -        -      2182832.840          312		1
  0  00      327     2568        -        -      2199443.200          313		1
  0  00      204     1474        -        -      2200959.776          314		1
  0  00      257     1919        -        -      2201424.000          315		1
  0  00      257     1968        -        -      2201534.632          316		1
  0  00      380     3050        -        -      2202932.672          317		1
  0  00      355     2996        -        -      2203597.952          318		1
  0  00      178     1505        -        -      2208129.320          319		1
  0  00      183     1501        -        -      2211374.104          320		1
  0  00      254     1950        -        -      2215114.928          321		1
  0  00      189     1479        -        -      2219188.512          322		1
  0  00      271     2269        -        -      2235635.344          323		1
  0  00      317     2498        -        -      2236921.824          324		1
  0  00      232     1937        -        -      2268069.928          325		1
  0  00      306     2272        -        -      2270021.848          326		1
  0  00      323     2474        -        -      2285314.792          327		1
  0  00      358     2887        -        -      2290525.808          328		1
  0  00      923     7454        -        -      2293739.064          329		1
  0  00      230     1989        -        -      2298838.104          330		1
  0  00      260     1945        -        -      2329820.248          331		1
  0  00      370     2901        -        -      2336602.912          332		1
  0  00      373     3110        -        -      2350843.056          333		1
  0  00      230     1921        -        -      2373166.200          334		1
  0  00      238     1945        -        -      2380194.904          335		1
  0  00      197     1450        -        -      2385709.264          336		1
  0  00      383     3103        -        -      2387492.352          337		1
  0  00      204     1453        -        -      2391219.688          338		1
  0  00      297     2356        -        -      2427989.344          339		1
  0  00      491     3972        -        -      2440692.856          340		1
  0  00      195     1421        -        -      2449831.304          341		1
  0  00      507     3928        -        -      2461621.136          342		1
  0  00      179     1488        -        -      2466048.480          343		1
  0  00      734     5743        -        -      2473430.056          344		1
  0  00      187     1473        -        -      2487384.520          345		1
  0  00      957     7710        -        -      2490621.352          346		1
  0  00      235     1758        -        -      2497833.240          347		1
  0  00     1511     8061        -        -      2508055.696          348		1
  0  00      197     1440        -        -      2527462.552          349		1
  0  00      449     3581        -        -      2536495.976          350		1
  0  00      908     7350        -        -      2548903.072          351		1
  0  00      228     1921        -        -      2569888.024          352		1
  0  00      494     3833        -        -      2570927.792          353		1
  0  00      440     3307        -        -      2584317.248          354		1
  0  00      200     1455        -        -      2588921.016          355		1
  0  00      198     1432        -        -      2593580.904          356		1
  0  00      428     3373        -        -      2598874.120          357		1
  0  00      361     2772        -        -      2608089.024          358		1
  0  00      457     3711        -        -      2609264.672          359		1
  0  00      185     1521        -        -      2610813.048          360		1
  0  00      238     1698        -        -      2612703.816          361		1
  0  00      260     1983        -        -      2622761.592          362		1
  0  00      607     4757        -        -      2623132.480          363		1
  0  00      238     1926        -        -      2625653.080          364		1
  0  00      340     2658        -        -      2626824.288          365		1
  0  00      228     1992        -        -      2642450.992          366		1
  0  00      359     2905        -        -      2648792.688          367		1
  0  00      345     2617        -        -      2651247.992          368		1
  0  00      193     1596        -        -      2654498.224          369		1
  0  00      426     3569        -        -      2657734.320          370		1
  0  00      247     1911        -        -      2669342.952          371		1
  0  00      302     2468        -        -      2683291.904          372		1
  0  00      348     2457        -        -      2690957.624          373		1
  0  00      179     1479        -        -      2692291.808          374		1
  0  00      299     2293        -        -      2701766.024          375		1
  0  00      390     3203        -        -      2704240.992          376		1
  0  00      193     1476        -        -      2706457.448          377		1
  0  00      320     2417        -        -      2710325.304          378		1
  0  00      487     3818        -        -      2717864.280          379		1
  0  00      360     2958        -        -      2743485.808          380		1
  0  00      232     1990        -        -      2759127.032          381		1
  0  00     1383     8061        -        -      2767666.640          382		1
  0  00      621     4855        -        -      2770894.640          383		1
  0  00      379     2889        -        -      2779372.960          385		1
  0  00      473     3775        -        -      2798495.808          386		1
  0  00      412     3302        -        -      2799794.224          387		1
  0  00      186     1410        -        -      2813008.624          388		1
  0  00      199     1673        -        -      2825054.176          389		1
  0  00      183     1471        -        -      2837838.448          390		1
  0  00      511     3774        -        -      2854001.224          391		1
  0  00      195     1481        -        -      2862207.392          392		1
  0  00      186     1504        -        -      2879810.912          393		1
  0  00      175     1455        -        -      2883777.568          394		1
  0  00      306     2295        -        -      2897834.104          395		1
  0  00      444     3324        -        -      2899726.592          396		1
  0  00      248     1969        -        -      2903908.624          397		1
  0  00      196     1371        -        -      2908718.432          398		1
  0  00      194     1498        -        -      2931206.616          399		1
  0  00      263     2002        -        -      2932272.672          400		1
  0  00      189     1509        -        -      2932462.800          401		1
  0  00      367     2937        -        -      2950614.800          402		1
  0  00      682     5329        -        -      2960120.264          403		1
  0  00      320     2434        -        -      2964554.312          404		1
  0  00      231     2017        -        -      2970976.992          405		1
  0  00      554     4489        -        -      2971287.280          406		1
  0  00      181     1399        -        -      2972580.240          407		1
  0  00      903     7144        -        -      2977638.176          408		1
  0  00      268     1899        -        -      2985258.720          409		1
  0  00      186     1509        -        -      2991631.904          410		1
  0  00      322     2455        -        -      2992540.208          411		1
  0  00      292     2422        -        -      2996742.064          412		1
  0  00      488     4017        -        -      2999180.976          413		1
  0  00      229     1872        -        -      3002744.384          414		1
  0  00      246     1882        -        -      3005253.952          415		1
  0  00      181     1500        -        -      3009618.512          416		1
  0  00      617     4816        -        -      3015157.616          417		1
  0  00      466     3770        -        -      3015738.896          418		1
  0  00      708     5644        -        -      3017780.032          419		1
  0  00      189     1451        -        -      3028086.424          420		1
  0  00      190     1489        -        -      3034238.256          421		1
  0  00      231     1998        -        -      3036415.968          422		1
  0  00      714     5531        -        -      3037250.528          423		1
  0  00      285     2217        -        -      3047493.712          424		1
  0  00      169     1426        -        -      3060899.296          425		1
  0  00      242     1923        -        -      3067198.912          426		1
  0  00       99     1143        -        -      3067907.528          427		1
  0  00      262     2112        -        -      3071078.392          428		1
  0  00      256     1914        -        -      3076376.000          429		1
  0  00      425     3358        -        -      3079846.952          430		1
  0  00      168     1472        -        -      3083429.720          431		1
  0  00      314     2402        -        -      3083954.472          432		1
  0  00      257     2006        -        -      3101882.016          433		1
  0  00      304     2354        -        -      3103132.120          434		1
  0  00      205     1637        -        -      3113013.352          435		1
  0  00      355     2886        -        -      3130471.792          436		1
  0  00      195     1488        -        -      3144005.760          437		1
  0  00      185     1421        -        -      3163369.320          438		1
  0  00      636     5126        -        -      3168758.984          439		1
  0  00      369     2891        -        -      3171342.240          440		1
  0  00      170     1445        -        -      3173955.936          441		1
  0  00      297     2209        -        -      3177143.856          442		1
  0  00      889     7208        -        -      3179632.568          443		1
  0  00      376     3163        -        -      3196205.256          444		1
  0  00      594     4827        -        -      3202840.440          445		1
  0  00      252     1933        -        -      3206809.672          446		1
  0  00      175     1421        -        -      3207066.504          447		1
  0  00      366     3061        -        -      3211763.160          448		1
  0  00      191     1480        -        -      3216909.144          449		1
  0  00      341     2827        -        -      3223469.576          450		1
  0  00      227     1919        -        -      3229621.304          451		1
  0  00      203     1461        -        -      3233451.288          452		1
  0  00      307     2347        -        -      3240893.992          453		1
  0  00      288     2367        -        -      3249860.968          455		1
  0  00      503     4026        -        -      3251382.720          456		1
  0  00     1136     8061        -        -      3253662.304          457		1
